rix-x,ris-y,ris-z,tx-x,tx-y,tx-z,rx-x,rx-y,rx-z,los
40,50,2,0,25,2,38,48,1,1
40,50,2,0,25,2,39,48,1,0
40,50,2,0,25,2,40,48,1,0
40,50,2,0,25,2,41,48,1,0
40,50,2,0,25,2,42,48,1,1
40,50,2,0,25,2,23,48,1,0
40,50,2,0,25,2,24,48,1,0
40,50,2,0,25,2,25,48,1,0
